query,original_query,concepts
"what are  Prehistoric turtles, Pleistocene reptiles, or Miocene reptiles of Asia?",<mark>Prehistoric turtles of Asia</mark> or <mark>Pleistocene reptiles of Asia</mark> or <mark>Miocene reptiles of Asia</mark>,"[""Prehistoric turtles"", ""Pleistocene reptiles"", ""Miocene reptiles"", ""Reptiles of Asia""]"
Sichuan Orchids,<mark>Orchids of Sichuan</mark>,"[""Orchids of Sichuan"", ""Orchidaceae of Southwest China"", ""Endemic orchids of China"", ""Orchidaceae of the Hengduan Mountains""]"
"Reptiles that are in North America, Trinidad, and Tobago, but not Venezuela",<mark>Reptiles of North America</mark> that are also <mark>Reptiles of Trinidad and Tobago</mark> but not <mark>Reptiles of Venezuela</mark>,"[""Reptiles of North America"", ""Reptiles of Trinidad"", ""Reptiles of Tobago"", ""Reptiles of Venezuela""]"
Cetaceans that are also Prehistoric mammals excluding Miocene mammals,<mark>Cetaceans</mark> that are also <mark>Prehistoric mammals</mark> but not <mark>Miocene mammals</mark>,"[""Cetaceans"", ""Prehistoric mammals"", ""Miocene mammals""]"
Biographical Italian bandits films,<mark>Biographical films about Italian bandits</mark>,"[""Biographical films"", ""Italian films"", ""Films about bandits"", ""Films set in Italy"", ""Historical crime films""]"
Books from the year 1726,<mark>1726 books</mark>,"[""Books published in 1726"", ""Books from the 1720s"", ""18th-century books""]"
1980s comedy films set in Florence,<mark>Films set in Florence</mark> that are also <mark>1980s comedy films</mark>,"[""Comedy films"", ""1980s films"", ""Films set in Florence""]"
Flora of Malaya that are also Endemic flora of Peninsular Malaysia excluding Trees of Malaya,<mark>Flora of Malaya</mark> that are also <mark>Endemic flora of Peninsular Malaysia</mark> but not <mark>Trees of Malaya</mark>,"[""Flora of Malaya"", ""Endemic flora of Peninsular Malaysia"", ""Trees of Malaya""]"
Russian 1994 novels,<mark>1994 novels</mark> that are also <mark>Russian novels</mark>,"[""Russian-language novels"", ""Novels by Russian authors"", ""Post-Soviet Russian novels"", ""Late 20th-century novels""]"
"Films that are 1988 sci-fi films, based on works by Issac Asimov, or 2000 thriller drama films",<mark>2000 thriller drama films</mark> or <mark>Films based on works by Isaac Asimov</mark> or <mark>1988 science fiction films</mark>,"[""Science fiction films"", ""Films released in 1988"", ""Films based on works by Isaac Asimov"", ""Thriller films"", ""Drama films"", ""Films released in 2000""]"
Non-American speculative fiction novels from 1991,<mark>1991 speculative fiction novels</mark> that are not <mark>1991 American novels</mark>,"[""Speculative fiction novels"", ""1991 novels"", ""American novels""]"
Transport and American drama that from the 1950 that are adventure drama films,<mark>1950s adventure drama films</mark> that are also both <mark>Transport films</mark> and <mark>American drama films</mark>,"[""Transport-themed films"", ""American films"", ""Adventure drama films"", ""Mid-20th-century films""]"
Canadian TV shows that are set in antiquity,<mark>Films set in antiquity</mark> that are also <mark>Canadian television films</mark>,"[""Canadian television series"", ""Television series set in antiquity"", ""Historical drama television series""]"
Hemiptera that are extinct,<mark>Extinct Hemiptera</mark>,"[""Hemiptera"", ""Extinct insects"", ""Fossil Hemiptera""]"
1930s biographical drama non historical films,<mark>1930s biographical films</mark> that are also <mark>1930s biographical drama films</mark> but not <mark>1930s historical films</mark>,"[""Biographical drama films"", ""1930s films"", ""Historical films""]"
"Fauna of Montserrat, Birds of Saint Kitts and Nevis, or Birds of the British Virgin Islands",<mark>Birds of Saint Kitts and Nevis</mark> or <mark>Birds of the British Virgin Islands</mark> or <mark>Fauna of Montserrat</mark>,"[""Fauna of Montserrat"", ""Birds of Saint Kitts and Nevis"", ""Birds of the British Virgin Islands""]"
1964 fiction books about china.,<mark>Books about Asia</mark> that are also both <mark>Books about China</mark> and <mark>1964 fiction books</mark>,"[""Fiction books"", ""1960s fiction books"", ""Fiction set in China"", ""Fiction about China""]"
Science films shot in Hertfordshire about bears,<mark>Films about science</mark> that are also both <mark>Films shot in Hertfordshire</mark> and <mark>Films about bears</mark>,"[""Science films"", ""Films about bears"", ""Films shot in Hertfordshire"", ""Films shot in England""]"
"novel series that are about dystopian societies, but that are not of the high fantasy genre",<mark>Dystopian novels</mark> that are also <mark>Novel series</mark> but not <mark>High fantasy novels</mark>,"[""Dystopian novel series"", ""High fantasy novel series"", ""Young adult dystopian novel series"", ""Science fiction dystopian novel series""]"
Endemic flora or Trees of Ethiopia or Plants in the Bible,<mark>Plants in the Bible</mark> or <mark>Endemic flora of Ethiopia</mark> or <mark>Trees of Ethiopia</mark>,"[""Endemic flora"", ""Trees of Ethiopia"", ""Plants in the Bible""]"
Books about creativity as well as economics but not about companies,<mark>Books about creativity</mark> that are also <mark>Economics books</mark> but not <mark>Books about companies</mark>,"[""Books about creativity"", ""Books about economics"", ""Books about companies""]"
Prehistoric reptiles of Asia that were classified as birds of Hawaii and Reptiles of North America,<mark>Prehistoric reptiles of Asia</mark> that are also both <mark>Birds of Hawaii</mark> and <mark>Reptiles of North America</mark>,"[""Fossil reptiles of Asia"", ""Birds of Hawaii"", ""Reptiles of North America""]"
1831 novels or Novels by Benjamin Disraeli,<mark>Novels by Benjamin Disraeli</mark> or <mark>1831 British novels</mark> or <mark>1831 novels</mark>,"[""1831 novels"", ""Novels by Benjamin Disraeli""]"
military books about marriage,<mark>Books about marriage</mark> that are also <mark>Military books</mark>,"[""Books on military marriage"", ""Nonfiction books about military families"", ""Literature on military spouses"", ""Military chaplaincy and marriage counseling"", ""Guides for military couples""]"
Palms or Acai that are edible,<mark>Edible palms</mark> or <mark>Açaí</mark>,"[""Edible palms"", ""Acai palms"", ""Edible acai fruit"", ""Palm hearts as food"", ""Culinary palm oils""]"
Trees of Western Canada that are not of the Northwestern United States,<mark>Trees of Western Canada</mark> that are not <mark>Trees of the Northwestern United States</mark>,"[""Trees of Western Canada"", ""Trees of the Northwestern United States"", ""Trees of British Columbia"", ""Trees of Alberta"", ""Trees of the Canadian Prairies""]"
Prehistoric reptiles of North America and Birds of Panama described in 1865,<mark>Birds described in 1865</mark> that are also both <mark>Prehistoric reptiles of North America</mark> and <mark>Birds of Panama</mark>,"[""Prehistoric reptiles of North America"", ""Birds of Panama"", ""Taxa described in the 19th century""]"
1981 drama films based on non-fiction books,<mark>1981 drama films</mark> that are also <mark>Films based on non-fiction books</mark>,"[""Drama films"", ""1981 films"", ""Films based on non-fiction books""]"
Novels set in Bahia or Brazilian crime novels,<mark>Brazilian crime novels</mark> or <mark>Novels set in Bahia</mark>,"[""Novels set in Bahia"", ""Brazilian novels"", ""Crime novels""]"
Novels about diseases and disorders and disasters but not Novels based on actual events,<mark>Novels about diseases and disorders</mark> that are also <mark>Novels about disasters</mark> but not <mark>Novels based on actual events</mark>,"[""Novels"", ""Novels about medical conditions"", ""Novels about disasters"", ""Novels based on actual events""]"
plants from Pennsylvania,<mark>Pennsylvanian plants</mark>,"[""Flora of Pennsylvania"", ""Native plants of Pennsylvania"", ""Introduced plants of Pennsylvania"", ""Plants of the Mid-Atlantic United States"", ""Plants of the Appalachian Mountains""]"
1897 horror books and novels,<mark>1897 books</mark> that are also both <mark>Horror books</mark> and <mark>Novels</mark>,"[""Horror books"", ""Horror novels"", ""Gothic horror fiction"", ""Victorian horror literature"", ""Supernatural horror literature""]"
1961 historical novels,<mark>Historical novels subgenres</mark> that are also <mark>1961 books</mark>,"[""Historical novels"", ""1961 novels""]"
Afghanistan's insects,<mark>Insects of Afghanistan</mark>,"[""Insects of Afghanistan"", ""Endemic insects of Afghanistan"", ""Insects of Central Asia"", ""Pollinating insects of Afghanistan"", ""Insects of the Hindu Kush""]"
Trees of China that are also in Nepal but not Paleotropical flora,<mark>Flora of China</mark> that are also <mark>Trees of Nepal</mark> but not <mark>Paleotropical flora</mark>,"[""Trees of China"", ""Trees of Nepal"", ""Himalayan trees"", ""Paleotropical flora""]"
"genus of large, broad-bodied, dramatic hover-flies",<mark>Volucella</mark>,"[""Hoverfly genera"", ""Large-bodied hoverflies"", ""Broad-bodied hoverflies"", ""Conspicuous hoverflies"", ""Wasp-mimicking hoverflies""]"
Monotypic Cucurbitaceae genera or Monotypic Cucurbitales or originating from Canada,<mark>Monotypic Cucurbitaceae genera</mark> or <mark>Crops originating from Canada</mark> or <mark>Monotypic Cucurbitales genera</mark>,"[""Monotypic genera in Cucurbitaceae"", ""Monotypic genera in Cucurbitales"", ""Native flora of Canada""]"
Teen drama films from the 1980s about abortion,<mark>1980s teen drama films</mark> that are also <mark>Films about abortion</mark>,"[""Teen drama films"", ""Films about abortion"", ""1980s films""]"
what are Independent films that are also Films set in hospitals but not Films set in psychiatric hospitals,<mark>Independent films</mark> that are also <mark>Films set in hospitals</mark> but not <mark>Films set in psychiatric hospitals</mark>,"[""Independent films"", ""Films set in hospitals"", ""Films set in psychiatric hospitals""]"
Pinnipeds of Australia or Africa or Marine fauna of Antarctica,<mark>Pinnipeds of Australia</mark> or <mark>Pinnipeds of Africa</mark> or <mark>Marine fauna of Antarctica</mark>,"[""Pinnipeds of Australia"", ""Pinnipeds of Africa"", ""Marine fauna of Antarctica""]"
Afrotropical flora of Sierra Leone but not Nigeria,<mark>Afrotropical realm flora</mark> that are also <mark>Flora of Sierra Leone</mark> but not <mark>Flora of Nigeria</mark>,"[""Afrotropical flora"", ""Flora of Sierra Leone"", ""Flora of Nigeria""]"
1970s musical films that are Westerns,<mark>1970s Western (genre) musical films</mark>,"[""1970s films"", ""Musical films"", ""Western films""]"
Birds found in the Turks and Caicos Islands or native birds from the Bahamas,<mark>Birds of the Turks and Caicos Islands</mark> or <mark>Endemic birds of the Bahamas</mark>,"[""Birds of the Turks and Caicos Islands"", ""Native birds of the Bahamas""]"
Novels set on islands in the Mediterranean Sea but excluding Novels set in Italy,<mark>Novels set on islands</mark> that are also <mark>Novels set in the Mediterranean Sea</mark> but not <mark>Novels set in Italy</mark>,"[""Novels set on islands"", ""Novels set in the Mediterranean region"", ""Novels set in Italy""]"
Devonian and late Devonian animals also Fauna of Oceania,<mark>Devonian animals</mark> that are also both <mark>Late Devonian animals</mark> and <mark>Fauna of Oceania</mark>,"[""Devonian animals"", ""Late Devonian animals"", ""Fauna of Oceania"", ""Prehistoric animals of Oceania""]"
Plants Afghanistan and Israel have in common,<mark>Flora of Afghanistan</mark> that are also <mark>Flora of Israel</mark>,"[""Flora of Afghanistan"", ""Flora of Israel"", ""Irano-Turanian flora"", ""Arid-zone plants of Western Asia"", ""Halophytes of Western Asia""]"
Japanese sci-fi comedy drama or mystery drama films,<mark>Japanese science fiction comedy-drama films</mark> or <mark>Japanese mystery drama films</mark>,"[""Japanese films"", ""Science fiction films"", ""Comedy-drama films"", ""Mystery drama films""]"
Flora of Kenya that are also Flora of Papuasia and Malesia,<mark>Flora of Kenya</mark> that are also both <mark>Flora of Papuasia</mark> and <mark>Flora of Malesia</mark>,"[""Flora of Kenya"", ""Flora of Papuasia"", ""Flora of Malesia"", ""Tropical flora""]"
Novels set in Norway excluding Norwegian novels,<mark>Novels set in Norway</mark> that are not <mark>Norwegian novels</mark>,"[""Novels set in Norway"", ""Norwegian novels""]"
Snakes of Asia that are Fauna of Oceania and Reptiles of the Philippines,<mark>Snakes of Asia</mark> that are also both <mark>Fauna of Oceania</mark> and <mark>Reptiles of the Philippines</mark>,"[""Snakes of Asia"", ""Fauna of Oceania"", ""Reptiles of the Philippines""]"
Flowering plants that are parasitic and Australasian,<mark>Angiosperm genera</mark> that are also both <mark>Australasian realm flora</mark> and <mark>Parasitic plants</mark>,"[""Parasitic flowering plants"", ""Holoparasitic angiosperms"", ""Hemiparasitic angiosperms"", ""Flora of Australasia""]"
Freshwater animals that are species from Africa and South America,<mark>Freshwater animals</mark> that are also both <mark>Fauna of Africa</mark> and <mark>Fauna of South America</mark>,"[""Freshwater animals"", ""Fauna of Africa"", ""Fauna of South America""]"
Trees of Cuba that are also in the Dominican Republic,<mark>Trees of Cuba</mark> that are also <mark>Flora of the Dominican Republic</mark>,"[""Trees of Cuba"", ""Trees of the Dominican Republic"", ""Trees of the Greater Antilles""]"
Indian musical and Malayalam films remade in other languages but not featuring an item number,<mark>Malayalam films remade in other languages</mark> that are also <mark>Indian musical films</mark> but not <mark>Films featuring an item number</mark>,"[""Indian musical films"", ""Malayalam-language films"", ""Films remade in other languages"", ""Films with item numbers""]"
Cephalopods of North America from the Late Cretaceous period,<mark>Late Cretaceous cephalopods of North America</mark>,"[""Cephalopods of North America"", ""Late Cretaceous cephalopods"", ""Late Cretaceous fossils of North America"", ""Ammonites of North America""]"
North American Flora that is also western South America Flora,<mark>Flora of the Eastern United States</mark> that are also both <mark>Flora of western South America</mark> and <mark>Flora of North America</mark>,"[""Flora of North America"", ""Flora of western South America"", ""Flora of the Andes""]"
"Australasian realm flora, Trees of the Philippines, and Flora of Taiwan",<mark>Flora of Taiwan</mark> that are also both <mark>Trees of the Philippines</mark> and <mark>Australasian realm flora</mark>,"[""Australasian realm flora"", ""Trees of the Philippines"", ""Flora of Taiwan""]"
Flora of Belarus or Moldova,<mark>Flora of Belarus</mark> or <mark>Flora of Moldova</mark>,"[""Flora of Belarus"", ""Flora of Moldova""]"
Non-fictions books about genocide but not about war,<mark>Non-fiction books about genocide</mark> that are not <mark>Books about war</mark>,"[""Nonfiction books"", ""Books about genocide"", ""Books about war""]"
1980 debut fiction books.,<mark>1980 fiction books</mark> that are also <mark>Debut novels</mark>,"[""Debut fiction books"", ""Debut novels"", ""Debut short story collections""]"
Oligocene or Neogene birds or Paleogene reptiles of Australia,<mark>Oligocene birds of Australia</mark> or <mark>Paleogene reptiles of Australia</mark> or <mark>Neogene birds of Australia</mark>,"[""Oligocene birds of Australia"", ""Neogene birds of Australia"", ""Paleogene reptiles of Australia""]"
Indian sport films that are not about cricket,<mark>Cricket films</mark> that are not <mark>Indian sports films</mark>,"[""Indian sports films"", ""Cricket films"", ""Indian boxing films"", ""Indian wrestling films"", ""Indian field hockey films"", ""Indian football films""]"
"Birds of the Cayman Islands, Birds of Dominica, Birds of the British Virgin Islands",<mark>Birds of the British Virgin Islands</mark> or <mark>Birds of Dominica</mark> or <mark>Birds of the Cayman Islands</mark>,"[""Birds of the Cayman Islands"", ""Birds of Dominica"", ""Birds of the British Virgin Islands""]"
Europe crops,<mark>Crops originating from Europe</mark>,"[""Cereal crops of Europe"", ""Oilseed crops of Europe"", ""Pulse crops of Europe"", ""Fruit crops of Europe"", ""Root and tuber crops of Europe"", ""Mediterranean crops of Southern Europe""]"
Spanish animated science fiction or Spanish action comedy films or Animated short films based on comics,<mark>Spanish animated science fiction films</mark> or <mark>Animated short films based on comics</mark> or <mark>Spanish action comedy films</mark>,"[""Spanish animated science fiction films"", ""Spanish action comedy films"", ""Animated short films based on comics""]"
1974 American novels about society,<mark>Books about society</mark> that are also both <mark>1974 American novels</mark> and <mark>American books</mark>,"[""American novels"", ""1970s novels"", ""Social novels""]"
Non Flora of Australia Kunzea,<mark>Kunzea</mark> that are not <mark>Flora of Australia</mark>,"[""Kunzea genus"", ""Flora of Australia"", ""Flora of New Zealand"", ""Endemic flora of New Zealand""]"
what are some Trees of Dominica or Flora of Martinique,<mark>Trees of Dominica</mark> or <mark>Flora of Martinique</mark>,"[""Trees of Dominica"", ""Flora of Martinique"", ""Trees of the Windward Islands"", ""Flora of the Lesser Antilles""]"
Russian spy films or shot in Belarus,<mark>Russian spy films</mark> or <mark>Films shot in Belarus</mark>,"[""Russian spy films"", ""Films shot in Belarus""]"
Plant species that are only found in Ghana,<mark>Endemic flora of Ghana</mark>,"[""Endemic flora of Ghana""]"
"X-Men, Doctor Dolittle or films set in 1845",<mark>Films set in 1845</mark> or <mark>X-Men films</mark> or <mark>Doctor Dolittle films</mark>,"[""X-Men films"", ""Doctor Dolittle films"", ""Films set in the mid-19th century""]"
2000s French Contemporary fantasy novels,<mark>2000s books</mark> that are also both <mark>French books</mark> and <mark>Contemporary fantasy novels</mark>,"[""Contemporary fantasy novels"", ""French-language novels"", ""2000s novels""]"
Fauna of the Pantanal that are Birds described in 1820,<mark>Fauna of the Pantanal</mark> that are also <mark>Birds described in 1820</mark>,"[""Fauna of the Pantanal"", ""Birds described in the 1820s""]"
Belgian mystery films or works by Frank Wedekind.,<mark>Films based on works by Frank Wedekind</mark> or <mark>Belgian mystery films</mark>,"[""Belgian films"", ""Mystery films"", ""Works by Frank Wedekind""]"
Fantasy films from Austria or animated fantasy films from Germany,<mark>Austrian fantasy films</mark> or <mark>German animated fantasy films</mark>,"[""Fantasy films"", ""Austrian films"", ""Animated films"", ""German films""]"
Historical epic and social issues films but not about families,<mark>Films about social issues</mark> that are also <mark>Historical epic films</mark> but not <mark>Films about families</mark>,"[""Historical epic films"", ""Social issues films"", ""Films about families""]"
1996 non-fiction Science books about spirituality,<mark>Science books</mark> that are also both <mark>1996 non-fiction books</mark> and <mark>Books about spirituality</mark>,"[""Non-fiction science books"", ""Non-fiction books on spirituality"", ""Scientific study of spirituality"", ""Psychology of spirituality"", ""Neuroscience of spiritual experience""]"
list some Novels by Aleksey Pisemsky,<mark>Novels by Aleksey Pisemsky</mark>,"[""Novels by Aleksey Pisemsky"", ""Russian-language novels"", ""Russian realist novels"", ""Literature of the Russian Empire""]"
Books about African-American history that are non-fiction adapted into films,<mark>Non-fiction books adapted into films</mark> that are also <mark>Books about African-American history</mark>,"[""Books about African-American history"", ""Non-fiction books"", ""Books adapted into films""]"
Novels about alien visitations excluding Novels about war and conflict,<mark>Novels about alien visitations</mark> that are not <mark>Novels about war and conflict</mark>,"[""Science fiction novels"", ""Novels about extraterrestrial visitation"", ""War novels"", ""Military science fiction novels""]"
"Films shot in Tasmania,set in Madhya Pradesh, or 2018 Western (genre) films",<mark>Films shot in Tasmania</mark> or <mark>Films set in Madhya Pradesh</mark> or <mark>2018 Western (genre) films</mark>,"[""Films shot in Tasmania"", ""Films set in Madhya Pradesh"", ""Western (genre) films"", ""2018 films""]"
"Books from 1562, 1566 or 1574",<mark>1562 books</mark> or <mark>1574 books</mark> or <mark>1566 books</mark>,"[""Books published in 1562"", ""Books published in 1566"", ""Books published in 1574""]"
Holarctic birds of Bolivia that aren't found in the Guianas,<mark>Holarctic fauna</mark> that are also <mark>Birds of Bolivia</mark> but not <mark>Fauna of the Guianas</mark>,"[""Holarctic birds"", ""Birds of Bolivia"", ""Birds of the Guianas""]"
Argentinian marsupials,<mark>Marsupials of Argentina</mark>,"[""Marsupials of Argentina"", ""Opossums (Didelphidae) of Argentina"", ""Microbiotheria of Argentina"", ""Neotropical marsupials"", ""Marsupials of Patagonia""]"
are there any Films shot in Spain that are also Films set in India,<mark>Films shot in Spain</mark> that are also <mark>Films set in India</mark>,"[""Films shot in Spain"", ""Films set in India""]"
Musical comedy films from Czech or Czechoslovakia,<mark>Czech musical comedy films</mark> or <mark>Czechoslovak musical comedy films</mark>,"[""Musical comedy films"", ""Czech films"", ""Czechoslovak films""]"
American business films shot in Italy,<mark>American business films</mark> that are also <mark>Films shot in Italy</mark>,"[""American films"", ""Business films"", ""Films shot in Italy""]"
Animals of Europe from the Quaternary period or reptiles of North America from the Pliocene period,<mark>Quaternary animals of Europe</mark> or <mark>Pliocene reptiles of North America</mark>,"[""Animals of Europe"", ""Quaternary period"", ""Reptiles of North America"", ""Pliocene epoch""]"
German novels from 2007,<mark>2007 German novels</mark>,"[""German-language novels"", ""Novels by German authors"", ""Novels published in 2007""]"
"what are birds of Indonesia, sulawesi, and oceania.",<mark>Fauna of Sulawesi</mark> that are also both <mark>Birds of Indonesia</mark> and <mark>Fauna of Oceania</mark>,"[""Birds of Indonesia"", ""Birds of Sulawesi"", ""Birds of Oceania""]"
Animals of Mexico that are extinct or carnivorans that are extinct,<mark>Extinct animals of Mexico</mark> or <mark>Extinct carnivorans</mark>,"[""Animals of Mexico"", ""Extinct animals"", ""Carnivorans""]"
"English-language Taiwanese, Taiwanese supernatural horror, or Tai chi films",<mark>Tai chi films</mark> or <mark>English-language Taiwanese films</mark> or <mark>Taiwanese supernatural horror films</mark>,"[""English-language Taiwanese films"", ""Taiwanese supernatural horror films"", ""Tai chi films""]"
"Crops that originated from Chile, Paraguay, or New Zealand",<mark>Crops originating from Chile</mark> or <mark>Crops originating from Paraguay</mark> or <mark>Crops originating from New Zealand</mark>,"[""Crop species originating in Chile"", ""Crop species originating in Paraguay"", ""Crop species originating in New Zealand""]"
Evacuation films about Dunkirk or about the Royal Air Force,<mark>Dunkirk evacuation films</mark> or <mark>Films about the Royal Air Force</mark>,"[""Evacuation films"", ""Films about the Dunkirk evacuation"", ""Royal Air Force films""]"
1998 fiction books based on Doctor Who,<mark>1998 fiction books</mark> that are also both <mark>1998 books</mark> and <mark>Novels based on Doctor Who</mark>,"[""Doctor Who tie-in fiction books"", ""Eighth Doctor Adventures novels"", ""Past Doctor Adventures novels"", ""Doctor Who short story anthologies""]"
Czech coming-of-age drama or war comedy and or coming-of-age films,<mark>Czech coming-of-age films</mark> or <mark>Czech war comedy films</mark> or <mark>Czech coming-of-age drama films</mark>,"[""Czech coming-of-age drama films"", ""War comedy films"", ""Coming-of-age films""]"
Flora of Sri Lanka and Western Indian Ocean,<mark>Flora of the Western Indian Ocean</mark> that are also <mark>Flora of Sri Lanka</mark>,"[""Flora of Sri Lanka"", ""Flora of the Western Indian Ocean"", ""Flora of Madagascar"", ""Flora of the Seychelles""]"
Best Musical or Comedy Picture Golden Globe winner 21st-century Films about food and drink,<mark>21st-century films</mark> that are also both <mark>Films about food and drink</mark> and <mark>Best Musical or Comedy Picture Golden Globe winners</mark>,"[""Golden Globe Best Motion Picture - Musical-Comedy winners"", ""21st-century films"", ""Films about food and drink""]"
American magic realism novels not set in North America,<mark>American magic realism novels</mark> that are not <mark>Novels set in North America</mark>,"[""Magic realism novels"", ""Novels by American authors"", ""Novels set in Europe"", ""Novels set in Asia"", ""Novels set in Africa"", ""Novels set in Oceania""]"
Flora of Oregon and Trees of the South-Central United States,<mark>Trees of the South-Central United States</mark> that are also <mark>Flora of Oregon</mark>,"[""Flora of Oregon"", ""Trees of the South-Central United States""]"
Prehistoric toothed whales not from the Miocene period,<mark>Prehistoric toothed whales</mark> that are not <mark>Miocene mammals</mark>,"[""Fossil toothed whales"", ""Miocene toothed whales"", ""Paleogene toothed whales"", ""Pliocene toothed whales""]"
Non-fiction books about elections excluding Books about North America,<mark>Non-fiction books about elections</mark> that are not <mark>Books about North America</mark>,"[""Non-fiction books"", ""Books about elections"", ""Political science books"", ""Books about voting systems"", ""Books about North America""]"
Plants found in Belarus,<mark>Flora of Belarus</mark>,"[""Flora of Belarus"", ""Trees of Belarus"", ""Wildflowers of Belarus"", ""Wetland plants of Belarus"", ""Plants of Eastern Europe""]"
1990s independent American teen films but are not about coming-of-age,<mark>1990s independent films</mark> that are also <mark>American teen films</mark> but not <mark>Coming-of-age films</mark>,"[""1990s films"", ""Independent films"", ""American films"", ""Teen films"", ""Coming-of-age films""]"
2000's American nonlinear narrative sports films,<mark>2000s sports films</mark> that are also <mark>American nonlinear narrative films</mark>,"[""Sports films"", ""American films"", ""2000s films"", ""Nonlinear narrative films""]"
"Mammals from Bolivia and Venezuela, but not from Guyana",<mark>Mammals of Bolivia</mark> that are also <mark>Mammals of Venezuela</mark> but not <mark>Mammals of Guyana</mark>,"[""Mammals of Bolivia"", ""Mammals of Venezuela"", ""Mammals of Guyana""]"
2021 American rock documentarys,<mark>American rock music films</mark> that are also <mark>2021 documentary films</mark>,"[""American documentary films"", ""Documentary films about rock music"", ""American music films"", ""Rock concert films""]"
Animals that can only be found in Oman,<mark>Endemic fauna of Oman</mark>,"[""Endemic fauna of Oman"", ""Endemic mammals of Oman"", ""Endemic reptiles of Oman"", ""Endemic amphibians of Oman"", ""Endemic freshwater fish of Oman"", ""Endemic invertebrates of Oman""]"
movies set in the time of 1816,<mark>Films set in 1816</mark>,"[""Films set in the 1810s"", ""Films set in the Regency era"", ""Films about the Year Without a Summer"", ""Films set in the post-Napoleonic era""]"
History books about Turkey or the Ottoman Empire or that are 1835 non-fiction,<mark>History books about Turkey</mark> or <mark>1835 non-fiction books</mark> or <mark>History books about the Ottoman Empire</mark>,"[""History books about Turkey"", ""History books about the Ottoman Empire"", ""1835 non-fiction books""]"
Birds of Canada that are Fauna of South America and the Amazon,<mark>Birds of Canada</mark> that are also both <mark>Fauna of South America</mark> and <mark>Fauna of the Amazon</mark>,"[""Birds of Canada"", ""Fauna of South America"", ""Fauna of the Amazon Basin"", ""Neotropical migratory birds""]"
Butterflies found in Asia and Africa but not in Europe,<mark>Fauna of Asia</mark> that are also <mark>Butterflies of Africa</mark> but not <mark>Lepidoptera of Europe</mark>,"[""Butterflies of Asia"", ""Butterflies of Africa"", ""Butterflies of Europe""]"
WW II films from the 20th century that are set in 1948,<mark>20th-century films</mark> that are also both <mark>World War II films</mark> and <mark>Films set in 1948</mark>,"[""World War II films"", ""Films set in 1948"", ""20th-century films""]"
1945 Alfred A. Knopf and 2nd-millennium books,<mark>1945 novels</mark> that are also both <mark>Alfred A. Knopf books</mark> and <mark>2nd-millennium books</mark>,"[""Books published by Alfred A. Knopf"", ""Books published in 1945"", ""Books of the 2nd millennium""]"
Animals from South India that aren't birds,<mark>Fauna of South India</mark> that are not <mark>Birds of Asia</mark>,"[""Animals of South India"", ""Mammals of South India"", ""Reptiles of South India"", ""Amphibians of South India"", ""Invertebrates of South India"", ""Birds of South India""]"
Trees of Western Canada also of Alaska,<mark>Trees of Western Canada</mark> that are also <mark>Flora of Alaska</mark>,"[""Trees of Western Canada"", ""Trees of Alaska"", ""Boreal forest trees of North America"", ""Pacific temperate rainforest trees""]"
English Dystopian novels that are not about disasters.,<mark>Dystopian novels</mark> that are also <mark>English novels</mark> but not <mark>Novels about disasters</mark>,"[""Dystopian novels"", ""English-language novels"", ""Disaster fiction"", ""Apocalyptic and post-apocalyptic fiction""]"
Films based on children's books and shape shifting but not about Leporidae,<mark>Films about shapeshifting</mark> that are also <mark>Films based on children's books</mark> but not <mark>Films about Leporidae</mark>,"[""Films based on children's books"", ""Films featuring shapeshifting"", ""Family fantasy films"", ""Films about Leporidae""]"
what are some Israeli books that are not in the Hebrew-language.,<mark>Israeli books</mark> that are not <mark>Hebrew-language books</mark>,"[""Israeli books"", ""Hebrew-language Israeli books"", ""Arabic-language Israeli books"", ""English-language Israeli books"", ""Russian-language Israeli books""]"
Quaternary Prehistoric birds of South America and Extinct animals of North America,<mark>Quaternary animals of South America</mark> that are also both <mark>Prehistoric birds of South America</mark> and <mark>Extinct animals of North America</mark>,"[""Prehistoric birds"", ""Quaternary period"", ""Birds of South America"", ""Extinct animals of North America""]"
Films from the 2020s about seafaring accidents or incidents,<mark>Films about seafaring accidents or incidents</mark> that are also <mark>2020s films</mark>,"[""2020s films"", ""Maritime disaster films"", ""Shipwreck films"", ""Films about maritime collisions""]"
Plants from Great Britain and America,<mark>Ferns of the Americas</mark> that are also <mark>Flora of Great Britain</mark>,"[""Flora of Great Britain"", ""Flora of the United States"", ""Flora of North America""]"
Flora of Mexico that are Monotypic Asparagales genera,<mark>Monotypic Asparagales genera</mark> that are also <mark>Flora of Mexico</mark>,"[""Flora of Mexico"", ""Monotypic Asparagales genera"", ""Monotypic Orchidaceae genera"", ""Monotypic Amaryllidaceae genera"", ""Monotypic Asparagaceae genera""]"
Ontario's Endemic fauna,<mark>Endemic fauna of Ontario</mark>,"[""Endemic vertebrates of Ontario"", ""Endemic invertebrates of Ontario"", ""Endemic freshwater fauna of Ontario"", ""Endemic terrestrial fauna of Ontario""]"
Mammals of South Australia that are Extinct animals and Vertebrates of Western Australia,<mark>Mammals of South Australia</mark> that are also both <mark>Extinct animals</mark> and <mark>Vertebrates of Western Australia</mark>,"[""Mammals of South Australia"", ""Extinct animals"", ""Vertebrates of Western Australia""]"
